Season,Episode,Title,Year,Total votes,Average rating,z-score
5,16,Homer Loves Flanders,1994,"3,188.00",8.50,1.61
5,17,Bart Gets an Elephant,1994,"2,650.00",7.80,0.76
5,18,Burns' Heir,1994,"3,033.00",8.30,1.37
5,19,Sweet Seymour Skinner's Baadasssss Song,1994,"3,105.00",8.30,1.37
5,20,The Boy Who Knew Too Much,1994,"2,645.00",8.30,1.37
5,21,Lady Bouvier's Lover,1994,"2,393.00",7.50,0.39
5,22,Secrets of a Successful Marriage,1994,"2,528.00",8.00,1.00
6,1,Bart of Darkness,1994,"3,274.00",8.70,1.85
6,2,Lisa's Rival,1994,"2,765.00",8.10,1.12
6,3,Another Simpsons Clip Show,1994,"2,439.00",5.80,-1.67
6,4,Itchy & Scratchy Land,1994,"3,108.00",8.60,1.73
6,5,Sideshow Bob Roberts,1994,"2,725.00",8.20,1.24
6,6,Treehouse of Horror V,1994,"4,335.00",9.20,2.46
6,7,Bart's Girlfriend,1994,"2,716.00",8.10,1.12
6,8,Lisa on Ice,1994,"2,972.00",8.60,1.73
6,9,Homer Badman,1994,"4,100.00",8.90,2.10
6,10,Grampa vs. Sexual Inadequacy,1994,"2,534.00",8.10,1.12
6,11,Fear of Flying,1994,"2,582.00",7.70,0.64
6,12,Homer the Great,1995,"3,801.00",9.00,2.22
6,13,And Maggie Makes Three,1995,"3,331.00",8.80,1.97
6,14,Bart's Comet,1995,"2,977.00",8.70,1.85
6,15,Homie the Clown,1995,"3,004.00",8.60,1.73
6,16,Bart vs. Australia,1995,"31,400.00",8.50,1.61
6,17,Homer vs. Patty and Selma,1995,"2,417.00",7.80,0.76
6,18,A Star Is Burns,1995,"2,947.00",8.50,1.61
6,19,Lisa's Wedding,1995,"2,825.00",8.30,1.37
6,20,Two Dozen and One Greyhounds,1995,"2,521.00",8.10,1.12
6,21,The PTA Disbands,1995,"2,471.00",8.00,1.00
6,22,Round Springfield,1995,"2,871.00",8.20,1.24
6,23,The Springfield Connection,1995,"2,510.00",8.20,1.24
6,24,Lemon of Troy,1995,"3,114.00",8.70,1.85
6,25,Who Shot Mr. Burns? Part One,1995,"3,988.00",9.20,2.46
7,1,Who Shot Mr. Burns? Part Two,1995,"3,624.00",9.00,2.22
7,2,Radioactive Man,1995,"2,728.00",8.30,1.37
7,3,Home Sweet Home-Dum-Diddly Doodily,1995,"2,657.00",8.40,1.49
7,4,Bart Sells His Soul,1995,"3,588.00",8.80,1.97
7,5,Lisa the Vegetarian,1995,"3,307.00",8.50,1.61
7,6,Treehouse of Horror VI,1995,"3,129.00",8.60,1.73
7,7,King Size Homer,1995,"3,989.00",9.00,2.22
7,8,Mother Simpson,1995,"2,961.00",8.70,1.85
7,9,Sideshow Bob's Last Gleaming,1995,"2,440.00",8.00,1.00
7,10,The Simpsons 138th Episode Spectacular!,1995,"2,400.00",7.40,0.27
7,11,Marge Be Not Proud,1995,"3,189.00",8.50,1.61
7,12,Team Homer,1996,"2,506.00",8.30,1.37
7,13,Two Bad Neighbors,1996,"3,233.00",8.50,1.61
7,14,Scenes from the Class Struggle in Springfield,1996,"2,286.00",7.70,0.64
7,15,Bart the Fink,1996,"2,253.00",7.70,0.64
7,16,Lisa the Iconoclast,1996,"2,466.00",8.10,1.12
7,17,Homer the Smithers,1996,"3,617.00",8.80,1.97
7,18,The Day the Violence Died,1996,"2,418.00",8.00,1.00
7,19,A Fish Called Selma,1996,"2,856.00",8.20,1.24
7,20,Bart on the Road,1996,"3,148.00",8.60,1.73
7,21,22 Short Films About Springfield,1996,"3,483.00",8.90,2.10
7,22,Raging Abe Simpson and His Grumbling Grandson in 'The Curse o...,1996,"2,625.00",8.50,1.61
7,23,Much Apu About Nothing,1996,"2,347.00",8.10,1.12
7,24,Homerpalooza,1996,"2,459.00",8.00,1.00
7,25,"Summer of 4'2""",1996,"2,667.00",8.40,1.49
8,1,Treehouse of Horror VII,1996,"2,904.00",8.40,1.49
8,2,You Only Move Twice,1996,"5,535.00",9.20,2.46
8,3,The Homer They Fall,1996,"2,526.00",8.10,1.12
8,4,"Burns, Baby Burns",1996,"2,464.00",7.70,0.64
8,5,Bart After Dark,1996,"2,592.00",8.30,1.37
8,6,A Milhouse Divided,1996,"2,443.00",8.10,1.12
8,7,Lisa's Date with Density,1996,"2,375.00",7.80,0.76
8,8,Hurricane Neddy,1996,"3,340.00",8.70,1.85
8,9,El Viaje Misterioso de Nuestro Jomer,1997,"3,314.00",8.60,1.73
8,10,The Springfield Files,1997,"4,066.00",9.00,2.22
8,11,The Twisted World of Marge Simpson,1997,"2,324.00",7.70,0.64
8,12,Mountain of Madness,1997,"3,064.00",8.50,1.61
8,13,Simpsoncalifragilisticexpiala(Annoyed Grunt)cious,1997,"2,602.00",7.70,0.64
8,14,The Itchy & Scratchy & Poochie Show,1997,"2,528.00",7.90,0.88
8,15,Homer's Phobia,1997,"3,814.00",8.80,1.97
8,16,Brother from Another Series,1997,"2,552.00",8.20,1.24
8,17,"My Sister, My Sitter",1997,"2,690.00",7.90,0.88
8,18,Homer vs. the 18th Amendment,1997,"3,106.00",8.80,1.97
8,19,Grade School Confidential,1997,"2,713.00",8.20,1.24
8,20,The Canine Mutiny,1997,"2,169.00",7.60,0.51
8,21,The Old Man and the Lisa,1997,"2,288.00",7.90,0.88
8,22,In Marge We Trust,1997,"2,371.00",8.10,1.12
8,23,Homer's Enemy,1997,"5,762.00",9.30,2.58
8,24,The Simpsons Spin-Off Showcase,1997,"2,287.00",7.10,-0.09
8,25,The Secret War of Lisa Simpson,1997,"2,256.00",7.80,0.76
9,1,The City of New York vs. Homer Simpson,1997,"4,410.00",9.00,2.22
9,2,The Principal and the Pauper,1997,"3,110.00",7.00,-0.22
9,3,Lisa's Sax,1997,"2,266.00",8.10,1.12
9,4,Treehouse of Horror VIII,1997,"2,457.00",8.20,1.24
9,5,The Cartridge Family,1997,"2,500.00",8.20,1.24
9,6,Bart Star,1997,"2,119.00",7.70,0.64
9,7,The Two Mrs. Nahasapeemapetilons,1997,"2,055.00",7.70,0.64
9,8,Lisa the Skeptic,1997,"2,264.00",8.10,1.12
9,9,Realty Bites,1997,"2,046.00",7.60,0.51
9,10,Miracle on Evergreen Terrace,1997,"2,259.00",7.60,0.51
